ID	OPC	CUSPS
3	21.5	1
4	25.125	1
5	24.875	1
6	166.25	6
7	21.5	1
8	43.625	3
9	172.625	8
10	124.875	5
11	79.5	3
12	69.375	4
14	38.0	1
15	122.125	4
16	295.875	1
17	75.625	6
18	30.125	3
19	207.125	3
20	50.25	4
22	155.375	8
23	193.5	4
24	80.375	6
25	16.25	2
26	28.75	3
27	59.375	4
28	23.875	1
29	49.875	3
30	165.125	4
31	131.0	6
32	29.75	2
33	138.75	4
34	31.125	1
35	175.25	7
36	21.5	1
38	34.125	1
39	46.625	3
40	176.375	5
41	114.875	6
42	142.0	3
43	45.0	5
45	125.5	5
47	252.25	8
48	54.625	3
49	39.125	3
51	61.5	3
53	128.0	6
54	277.0	8
55	105.875	5
56	43.25	3
58	68.25	7
59	24.625	1
60	149.875	1
61	120.625	3
62	91.25	4
64	30.375	1
65	180.75	6
66	28.875	3
67	83.75	2
68	34.625	1
69	279.25	2
70	67.75	3
71	83.75	4
72	121.875	5
73	160.625	6
76	62.5	3
77	178.5	3
78	54.5	3
79	114.0	6
80	77.125	1
81	70.875	3
82	27.75	3
83	74.25	5
84	66.625	3
85	95.375	7
86	43.0	1
87	186.0	3
88	52.625	3
89	35.5	3
90	243.5	5
91	92.0	4
93	525.0	11
94	156.625	3
96	42.625	3
97	58.125	3
98	25.25	3
99	19.5	1
100	36.5	1
101	194.625	7
102	41.5	3
103	171.75	5
104	49.625	3
105	62.625	4
106	43.0	3
107	78.25	6
108	221.0	1
109	27.25	3
110	63.0	3
111	212.5	3
112	114.375	5
113	131.75	5
114	65.5	1
115	89.25	6
116	56.125	5
117	50.375	2
118	34.625	2
119	19.75	3
120	84.75	4
122	170.5	3
124	190.375	3
125	56.5	2
126	27.0	1
127	45.375	3
129	25.5	2
130	135.5	6
131	70.5	3
132	135.75	3
133	72.125	5
134	93.25	3
135	65.625	4
136	43.25	3
137	100.375	3
139	74.25	3
140	24.625	3
141	87.125	5
142	92.5	4
143	277.875	4
144	67.0	1
146	21.625	1
147	222.75	6
148	21.75	3
149	27.5	3
150	172.375	6
151	81.75	5
152	101.375	2
153	75.75	1
154	24.125	1
155	236.25	7
157	77.25	6
158	33.125	2
159	72.125	4
160	54.375	3
161	150.875	7
162	140.125	8
163	93.125	6
164	24.25	1
165	71.25	7
167	67.625	5
168	166.375	6
169	174.875	7
170	53.875	3
171	156.375	6
172	160.375	6
173	168.75	5
174	228.0	1
175	43.0	3
176	53.375	3
177	49.625	4
178	64.125	3
179	265.5	9
180	42.0	4
181	24.75	2
182	59.625	3
183	270.625	9
184	95.125	6
185	28.25	3
186	67.0	4
187	97.625	5
188	95.375	5
189	198.75	2
190	61.125	1
191	18.25	1
192	72.0	3
193	118.625	9
194	73.375	5
195	94.75	5
196	114.125	3
197	27.625	3
198	53.125	3
199	81.25	4
200	81.75	3
201	31.75	3
202	125.375	4
203	49.875	3
204	36.625	3
205	123.625	6
206	217.25	6
207	52.875	4
208	78.5	5
209	40.75	2
210	35.875	3
211	130.25	5
212	74.25	5
213	85.875	4
214	55.375	3
215	168.25	2
216	133.625	4
217	87.875	1
218	182.0	7
220	164.75	5
221	59.875	1
222	68.75	4
223	31.75	3
224	30.0	1
225	87.375	4
226	25.5	3
227	43.75	3
228	139.0	5
229	140.25	2
230	68.75	5
231	67.0	5
232	83.875	2
233	186.125	4
234	32.125	1
235	24.75	3
236	125.875	6
237	110.0	5
238	59.75	5
239	312.25	1
241	44.625	3
242	247.0	3
243	302.375	6
244	45.0	3
245	84.0	3
246	34.875	2
247	288.0	8
248	59.375	3
249	57.0	5
250	108.375	6
251	138.5	7
252	32.25	1
253	45.875	3
254	79.0	2
255	40.75	3
256	271.25	8
257	149.0	6
258	202.75	7
259	82.875	5
260	169.125	5
261	72.875	4
262	81.25	4
263	128.125	6
264	35.75	3
266	146.125	5
267	236.25	8
268	34.875	3
269	80.25	4
270	142.375	3
271	87.875	4
272	192.0	5
273	66.375	3
274	37.5	1
275	71.125	3
276	71.75	5
277	106.125	5
278	93.0	7
279	41.125	3
280	295.0	8
281	41.25	3
282	180.375	2
283	126.5	7
284	72.0	1
285	56.0	4
286	296.375	5
287	92.625	4
288	253.75	6
289	101.125	6
290	93.25	6
291	43.25	3
292	18.25	1
293	116.875	4
294	30.375	1
295	37.75	3
296	65.75	1
297	192.375	7
299	38.0	3
301	57.125	2
302	24.375	2
303	109.25	1
304	218.625	6
306	97.125	5
307	134.25	2
308	34.875	2
309	314.25	1
310	63.25	3
311	137.0	4
313	123.125	6
314	98.25	6
316	76.5	5
317	80.375	5
318	90.875	4
319	53.0	3
320	36.75	3
321	304.5	1
322	36.625	2
323	100.0	5
324	189.75	8
325	154.25	3
326	20.75	1
327	225.25	8
328	81.5	5
329	131.375	5
331	35.5	3
332	117.875	4
333	47.0	3
334	56.125	4
335	30.25	1
336	103.125	3
337	112.875	4
338	143.875	6
340	187.5	2
341	44.25	3
342	187.75	5
343	76.0	3
344	39.75	3
346	39.625	3
347	272.75	3
348	155.625	7
349	76.5	7
350	174.5	4
351	70.5	3
352	56.75	4
354	51.75	3
355	24.75	1
356	23.75	1
357	102.25	7
358	115.0	6
359	52.0	5
360	108.5	3
361	226.125	6
362	88.5	3
363	295.375	3
364	52.0	4
365	89.125	5
367	235.0	7
368	49.625	3
369	92.375	4
370	53.625	3
371	138.875	6
372	64.5	1
373	214.625	5
374	59.875	3
375	190.25	5
376	45.375	3
377	285.125	6
378	207.25	4
379	229.75	5
380	50.0	3
381	67.75	4
382	169.25	5
384	170.75	5
385	49.75	3
386	154.125	8
387	153.625	7
388	56.0	2
389	53.625	3
391	19.375	1
392	147.75	6
393	22.0	1
395	105.625	5
396	92.0	1
397	113.5	6
398	99.5	7
399	71.25	4
400	203.625	6
401	66.25	3
402	44.25	3
403	56.75	4
404	56.625	5
405	38.5	2
406	25.0	1
407	162.375	7
408	72.75	2
409	59.5	5
410	154.125	5
411	78.875	5
412	28.625	1
413	179.875	7
414	85.375	3
415	32.5	3
416	336.5	12
417	24.5	3
418	48.375	3
419	102.0	5
421	42.0	2
422	138.5	7
423	63.0	5
424	275.75	4
425	68.875	4
427	176.75	3
428	60.5	4
429	464.625	3
430	144.25	4
431	170.125	2
432	143.125	4
433	43.75	3
435	118.25	7
436	30.875	3
437	41.75	3
