ID	OPC	CUSPS
1	52.75	4
2	18.75	1
3	25.0	1
4	38.0	3
5	20.5	1
6	27.375	2
7	23.5	1
8	48.875	1
9	36.375	1
10	39.375	1
11	36.0	3
12	31.125	1
13	60.875	4
14	127.625	1
15	26.75	3
16	19.375	1
17	22.0	1
18	26.375	3
20	65.875	2
21	34.25	1
22	65.25	1
23	56.0	4
24	20.0	2
25	36.125	3
26	31.0	3
27	22.25	1
28	24.5	1
29	17.5	1
30	17.375	1
31	17.25	1
32	48.0	3
33	53.25	5
34	62.75	3
35	35.5	3
36	33.0	4
37	199.75	1
38	30.125	1
39	34.875	2
40	25.25	1
41	19.5	1
42	71.75	3
43	16.75	1
44	43.0	1
45	29.375	1
46	26.0	1
47	38.25	3
48	26.125	2
49	46.75	1
50	26.75	2
51	33.0	4
52	61.5	5
53	19.25	1
54	60.25	1
55	38.875	2
56	22.0	3
57	16.5	3
58	37.75	3
60	65.5	3
61	21.0	3
62	25.125	1
63	38.5	2
64	30.875	3
65	36.0	1
66	59.5	1
67	39.875	3
69	16.5	1
70	104.375	1
71	20.75	3
72	39.0	3
73	61.75	1
74	16.25	1
75	26.0	3
76	62.875	4
77	24.625	2
78	30.125	3
79	32.125	3
80	20.0	1
81	33.5	1
82	67.0	3
83	22.5	1
84	18.75	1
85	14.375	1
86	63.75	5
87	34.125	4
88	18.75	1
89	74.0	1
90	32.75	3
91	38.125	2
92	54.25	4
93	28.375	3
94	29.0	3
95	16.5	1
96	113.75	2
97	25.625	1
98	25.5	2
99	46.375	2
100	25.0	3
101	60.875	1
102	34.875	3
103	75.375	1
104	39.875	3
105	96.75	1
106	86.75	1
107	23.25	1
108	22.0	1
110	279.25	1
111	36.875	2
112	31.75	3
113	46.5	5
114	24.25	3
115	16.625	1
116	22.125	1
117	79.5	1
118	56.625	3
119	38.5	3
120	23.875	1
121	48.75	4
122	21.875	2
123	174.625	3
124	35.875	1
125	48.5	2
126	33.0	3
127	21.0	1
128	23.5	1
129	38.75	2
130	25.875	3
131	33.875	1
132	38.875	1
134	31.5	2
135	23.75	2
136	76.875	2
137	43.25	3
138	70.375	3
139	29.75	2
140	77.75	4
141	39.75	2
142	45.0	3
143	25.25	1
144	29.0	4
145	18.5	1
146	86.125	1
147	30.5	2
148	20.375	3
149	87.25	1
150	22.25	2
151	27.625	2
152	34.25	3
153	33.25	1
154	50.25	3
155	28.875	3
156	21.25	1
157	47.0	1
158	65.625	4
159	16.25	2
160	51.75	1
161	36.375	3
162	19.25	1
163	14.0	1
164	55.125	4
165	40.0	1
166	26.25	3
167	31.0	1
168	19.0	1
169	33.375	3
170	28.25	2
171	21.0	1
172	36.75	3
173	24.375	3
174	21.0	3
175	46.625	2
176	44.75	1
177	19.25	1
178	124.125	2
179	23.5	2
180	81.0	1
181	19.75	1
182	19.25	1
185	43.25	1
186	59.25	4
187	81.5	5
189	22.25	3
190	33.5	1
191	28.5	1
193	52.375	4
194	42.375	4
195	141.875	2
196	36.625	2
197	39.25	1
200	97.875	5
201	40.0	2
202	88.0	5
203	231.75	1
204	16.75	1
205	35.625	1
206	24.125	2
207	21.25	2
208	39.25	2
209	16.0	1
210	19.0	2
211	113.0	1
212	17.25	2
213	19.5	1
214	43.25	3
215	34.375	2
216	26.0	2
218	46.25	3
219	29.25	2
220	18.25	1
221	22.25	1
222	31.375	3
223	56.375	5
224	33.0	3
225	115.75	3
226	28.0	3
227	33.0	3
228	19.5	3
229	55.0	4
230	40.875	1
231	28.5	1
232	31.75	1
233	20.5	1
234	60.5	2
235	31.625	3
236	78.875	3
237	25.5	2
238	32.5	4
239	63.125	3
240	49.875	3
241	81.5	3
242	65.5	3
243	22.25	1
244	33.75	5
245	131.0	1
246	61.5	2
247	143.75	1
248	230.125	1
249	43.0	4
250	28.75	1
251	18.125	1
252	120.125	2
253	27.125	2
254	29.25	4
255	25.375	3
256	74.25	3
257	17.0	1
258	51.125	3
259	33.75	2
260	29.5	3
261	29.25	3
262	26.75	3
264	29.0	2
265	41.0	3
266	22.5	2
267	20.75	1
268	35.5	1
269	30.0	1
270	62.25	1
271	36.375	3
272	25.25	4
274	24.0	3
275	35.125	4
276	40.125	3
277	21.0	2
278	16.0	1
279	30.75	1
280	26.75	1
281	48.875	2
282	64.0	1
283	26.5	3
284	44.125	3
285	14.875	1
286	19.5	2
287	150.75	1
288	24.5	2
289	29.0	1
290	47.375	1
291	45.75	1
292	46.25	3
293	18.75	1
294	32.25	2
295	17.75	2
296	56.5	4
297	39.5	4
298	14.875	1
299	31.625	4
300	38.5	2
301	178.125	1
302	202.5	4
303	63.0	5
304	29.5	4
306	24.75	2
307	15.5	1
308	33.0	3
309	29.75	3
310	49.375	1
311	62.625	1
312	19.0	3
313	49.375	3
314	35.25	3
315	133.375	5
316	15.0	1
318	62.75	5
319	28.25	1
320	28.25	2
321	29.5	1
322	32.75	3
323	33.5	3
324	24.75	2
325	35.875	3
326	41.5	3
327	18.75	1
328	29.125	3
329	24.25	2
330	33.0	4
331	16.5	1
332	34.0	2
333	41.125	3
334	19.25	1
335	98.75	5
336	24.75	3
337	98.125	3
338	24.75	2
339	42.0	3
340	26.5	1
341	68.125	5
342	29.125	1
343	27.75	2
344	63.0	2
345	56.0	4
346	28.125	1
347	28.0	4
348	29.0	4
349	64.5	1
350	28.75	2
351	27.0	1
352	20.75	2
353	35.5	3
354	39.5	4
355	128.25	1
356	35.875	3
357	27.625	1
358	38.875	3
359	23.125	1
360	40.5	1
361	24.25	1
362	22.75	3
363	20.75	3
364	36.25	3
365	20.75	3
366	43.625	4
367	42.75	3
368	43.625	4
369	49.75	2
370	44.875	3
371	110.5	2
372	55.25	1
373	28.25	1
374	36.625	3
375	29.0	1
376	20.875	3
377	74.75	3
378	16.75	2
379	38.0	3
380	21.75	2
381	96.375	3
382	79.0	3
383	43.0	3
384	25.75	1
385	41.625	1
386	29.875	3
387	17.25	1
388	26.875	1
389	101.25	1
390	25.75	2
391	45.25	4
392	103.75	3
393	23.75	3
394	26.0	2
395	49.125	1
396	24.0	1
397	108.375	2
398	58.25	1
399	17.75	1
400	27.125	2
401	33.625	1
402	30.0	3
403	39.0	3
404	36.75	3
405	46.5	1
406	51.25	3
407	23.75	1
408	19.0	1
409	27.0	1
410	39.375	1
411	38.375	3
412	35.375	1
413	83.5	1
414	125.75	1
415	31.625	1
416	29.375	4
417	18.25	1
418	20.0	3
419	44.75	3
420	49.75	1
422	31.5	1
423	32.0	3
424	58.375	5
425	29.0	1
426	26.25	3
427	39.875	2
428	64.875	3
429	54.125	2
430	95.25	2
