ID	OPC	CUSPS
1	29.0	4
2	24.5	1
3	19.0	1
4	25.5	1
5	18.75	1
6	28.5	1
7	16.0	1
8	43.75	1
9	26.5	1
10	27.0	1
11	30.75	2
12	31.875	1
13	28.875	4
14	61.5	1
15	21.0	3
16	18.625	1
17	21.375	1
18	28.75	2
19	15.5	1
20	53.75	1
21	33.0	1
22	54.0	1
23	33.125	1
24	20.75	2
25	26.375	3
26	17.75	3
27	21.25	1
28	20.125	1
29	18.5	1
30	19.25	1
31	24.0	1
32	32.5	3
33	26.125	1
34	33.0	3
35	21.0	2
36	30.375	1
37	128.0	1
38	23.875	1
39	27.125	1
40	17.5	1
41	19.0	1
42	23.25	3
43	16.375	1
44	34.5	1
45	27.875	1
46	25.75	1
47	34.0	3
48	31.25	2
49	46.0	2
50	26.25	2
51	25.75	1
52	34.0	4
53	21.125	1
54	50.0	3
55	28.75	2
56	19.25	3
57	19.5	1
58	26.5	3
59	53.0	3
60	38.5	2
61	17.75	3
62	17.75	1
63	23.875	2
64	33.25	2
65	34.75	1
66	56.125	1
67	30.75	3
68	30.75	3
69	19.5	1
70	71.75	1
71	17.0	1
72	29.0	3
73	58.5	1
74	20.375	1
75	19.625	3
76	36.0	3
77	24.0	2
78	22.25	1
79	23.25	2
80	18.75	1
82	35.625	3
83	18.0	1
84	18.0	1
85	17.75	1
86	42.5	3
87	26.0	1
88	17.25	1
89	55.25	2
90	27.0	3
91	35.75	2
92	31.0	3
93	18.375	3
94	23.5	3
95	18.0	1
96	59.125	2
97	21.375	1
98	28.75	2
99	29.5	1
100	30.875	2
101	42.625	1
102	19.5	3
103	42.25	1
104	22.5	1
105	90.0	1
106	50.375	1
107	18.5	1
108	21.75	1
109	41.0	4
110	231.0	1
111	28.75	2
112	25.375	1
113	44.25	3
114	21.5	3
115	17.75	1
116	16.25	1
117	52.125	1
118	29.0	1
119	35.0	3
120	20.125	1
121	34.75	3
122	18.5	1
123	116.5	3
124	32.0	1
125	24.5	2
126	24.5	3
127	20.5	1
128	30.625	1
129	28.75	2
130	24.625	3
131	18.5	1
132	29.0	2
133	46.0	4
134	31.75	2
135	26.375	1
136	47.25	2
137	29.375	1
138	19.0	3
139	26.125	2
140	36.5	2
141	25.75	2
142	35.625	3
143	32.125	1
144	25.0	3
145	18.25	1
146	73.5	1
147	24.25	2
148	18.75	3
149	58.5	1
150	15.25	1
151	31.875	2
152	22.75	1
153	25.5	1
154	22.25	3
155	17.0	1
156	21.0	1
157	37.0	1
158	43.375	2
159	17.75	1
160	38.0	1
161	21.625	3
162	17.625	1
163	21.25	1
164	36.375	4
165	33.25	1
166	23.0	3
167	33.625	1
168	24.5	1
169	26.625	2
170	25.5	2
171	21.25	1
172	25.25	3
173	17.5	1
174	28.75	1
175	27.75	1
176	39.375	1
177	17.75	1
178	81.5	2
179	22.75	1
180	46.0	1
181	18.5	1
182	21.125	1
183	61.75	1
184	42.25	1
185	35.75	1
186	44.25	4
187	31.0	3
188	66.75	5
189	22.375	3
190	30.25	1
191	24.75	1
192	79.5	5
193	41.375	2
194	33.5	3
195	77.5	2
196	20.75	2
197	44.75	1
198	193.625	1
199	47.875	3
200	48.5	5
202	44.5	5
203	148.25	1
204	15.25	1
205	41.0	1
206	20.5	2
207	19.75	1
208	32.5	1
209	16.75	1
210	18.625	1
211	110.0	1
212	17.0	1
213	17.25	1
214	36.25	3
215	27.625	2
216	31.75	1
217	15.75	2
218	27.375	3
219	25.5	2
220	19.125	1
221	23.25	1
222	23.25	1
223	39.25	5
224	25.5	3
225	65.0	1
226	19.25	3
227	27.5	2
228	17.0	1
229	25.0	1
230	45.5	1
231	17.25	1
232	30.5	1
233	17.0	1
234	37.0	1
235	23.875	3
236	36.5	1
237	25.0	2
238	28.75	3
239	38.0	1
240	30.75	1
241	54.625	3
242	45.0	3
243	20.625	1
244	24.875	3
245	94.125	1
246	33.25	1
247	91.875	1
248	162.0	1
249	19.75	3
250	20.5	1
251	19.625	1
252	68.5	2
253	23.5	2
254	21.0	3
255	21.875	3
256	33.75	1
257	17.75	1
258	46.0	3
259	24.25	1
260	26.25	3
261	22.5	3
262	22.375	3
263	19.25	1
264	17.0	1
265	24.375	3
266	17.25	2
267	16.625	1
268	38.75	1
269	27.625	1
270	57.125	1
271	20.25	3
272	20.75	2
273	24.875	1
274	18.5	2
275	18.875	3
276	28.625	1
277	21.75	2
278	19.25	1
279	22.0	1
280	24.75	1
281	24.75	1
282	36.75	1
283	19.75	3
284	34.75	3
285	15.25	1
286	14.0	1
287	87.75	1
288	19.75	2
289	15.75	1
290	36.125	1
291	31.25	1
292	39.25	3
293	18.25	1
294	25.5	2
295	23.5	2
296	45.875	4
297	32.875	3
298	18.625	1
299	24.0	3
300	30.75	2
301	137.875	1
302	118.25	2
303	32.875	3
304	26.0	1
305	53.75	3
306	19.75	2
307	17.125	1
308	26.875	3
309	21.875	3
310	40.25	2
311	52.25	1
312	18.75	1
313	40.375	1
314	23.25	3
315	70.625	3
316	17.25	1
317	16.25	1
318	50.875	3
319	26.0	1
320	23.75	1
321	28.125	1
322	36.5	3
323	34.125	3
324	23.0	2
325	27.25	3
326	32.0	3
327	17.625	1
328	24.5	2
329	21.0	1
330	29.25	3
331	16.75	1
332	27.75	2
333	23.375	1
334	19.5	1
335	74.125	5
336	21.75	3
337	52.75	3
338	28.75	1
339	48.25	3
340	19.25	1
341	48.875	3
342	33.125	1
343	25.75	2
344	47.25	2
345	36.25	4
346	17.5	1
347	22.875	1
348	30.5	1
349	60.0	1
350	17.5	1
351	25.0	1
352	19.375	1
353	19.5	3
354	32.25	1
355	82.5	1
356	29.375	3
357	24.5	1
358	24.625	3
359	15.0	1
360	31.375	1
361	19.0	1
362	18.25	2
363	18.0	1
364	21.75	2
365	20.375	3
366	32.875	3
367	33.875	3
368	35.625	3
369	40.125	2
370	37.75	3
371	81.125	2
372	51.0	1
373	21.25	1
374	22.25	3
375	34.75	1
376	21.0	3
377	40.125	2
378	13.0	2
379	28.5	1
380	19.5	1
381	39.0	2
382	40.0	1
383	33.25	2
384	16.5	1
385	38.5	1
386	22.75	2
387	17.375	1
388	24.625	1
389	52.5	1
390	20.5	2
391	33.0	4
392	44.5	1
393	22.75	3
394	24.75	2
395	38.625	1
396	16.5	2
397	42.25	1
398	40.0	1
399	20.75	1
400	37.5	1
401	17.75	1
402	22.0	3
403	29.0	3
404	26.0	2
405	38.75	1
406	37.25	3
407	26.375	1
408	17.625	1
409	20.25	1
410	39.375	1
411	25.75	3
412	30.5	1
413	47.375	1
414	73.625	1
415	24.0	1
416	24.625	3
417	22.25	1
418	16.0	3
419	25.25	3
420	49.5	1
421	15.75	1
422	30.5	1
423	31.125	3
424	34.125	3
425	24.0	1
426	19.5	3
427	37.0	2
428	35.75	1
429	41.5	3
430	43.875	1
431	20.5	1
432	33.5	3
433	18.0	3
434	37.0	1
435	26.875	1
436	34.125	1
437	19.25	1
438	18.75	3
