Binary	UpDownNotation	n	GridSize	KC
011110000110	02033311131	12	12x12	22.486306
001101110001	00031303131	12	12x12	17.297158
100011101001	03003003111	12	12x12	17.297158
101010010010	00002111112	12	12x12	15.567442
101110110000	03131212133	12	12x12	19.026874
011001010001	02212111300	12	12x12	20.756590
001110001010	03331303113	12	12x12	20.756590
001010110101	00003020302	12	12x12	17.297158
000010010110	03030300021	12	12x12	17.297158
111101101010	00331133033	12	12x12	19.026874
110110011011	02211312202	12	12x12	24.216021
010110010000	03331213112	12	12x12	22.486306
100100010100	02203331113	12	12x12	20.756590
111111001101	03030220333	12	12x12	20.756590
101001011000	00303000200	12	12x12	17.297158
111111010010	02030220212	12	12x12	20.756590
111111011000	02122202112	12	12x12	24.216021
001011101001	00000030311	12	12x12	15.567442
101100001100	03000000022	12	12x12	15.567442
000111101010	03113000002	12	12x12	20.756590
110011011100	02111131222	12	12x12	20.756590
000101101010	03130302222	12	12x12	19.026874
011011001000	02122221111	12	12x12	17.297158
010001101110	02221331333	12	12x12	17.297158
111111011111	00211200002	12	12x12	20.756590
001011001110	00000221130	12	12x12	19.026874
111101011011	02003333112	12	12x12	20.756590
111001001000	00003303020	12	12x12	19.026874
111101110100	03133303111	12	12x12	22.486306
011010111010	02002022131	12	12x12	22.486306
101010100100	00212200211	12	12x12	19.026874
111000110010	03033121213	12	12x12	20.756590
010010110101	02111221131	12	12x12	20.756590
101010101000	03113333020	12	12x12	22.486306
100010011101	02122030222	12	12x12	22.486306
111100011101	00220300202	12	12x12	20.756590
100011111100	02033333311	12	12x12	17.297158
100111001101	02120200211	12	12x12	20.756590
001111011001	02111111331	12	12x12	17.297158
101001111011	03331303111	12	12x12	20.756590
010111101000	00331121130	12	12x12	22.486306
001101000111	02021113122	12	12x12	22.486306
111111011010	03003303031	12	12x12	20.756590
101111111100	00021111113	12	12x12	15.567442
110000001111	03311330311	12	12x12	20.756590
000001101010	03330311213	12	12x12	22.486306
000100000101	00311122020	12	12x12	20.756590
000100000010	03331112133	12	12x12	20.756590
000001010000	02120022022	12	12x12	19.026874
110011001011	00021111330	12	12x12	19.026874
010010101101	00313130020	12	12x12	22.486306
101111100010	00222213311	12	12x12	20.756590
111111000100	03302033303	12	12x12	19.026874
110001000111	00002111212	12	12x12	17.297158
010010100011	03130333121	12	12x12	22.486306
101100010100	02022212203	12	12x12	20.756590
010011111000	03000031333	12	12x12	20.756590
110010111111	03303131130	12	12x12	22.486306
000101000001	03113130333	12	12x12	20.756590
000100011001	03312112020	12	12x12	22.486306
111100011000	02030221202	12	12x12	20.756590
010010001010	03300222133	12	12x12	20.756590
001111011010	00033113112	12	12x12	19.026874
010010001010	03113302030	12	12x12	24.216021
101100101001	02030002003	12	12x12	20.756590
011111000011	02030313133	12	12x12	17.297158
000100001100	00211211331	12	12x12	20.756590
010011001111	00313121331	12	12x12	22.486306
110011111110	03333033112	12	12x12	19.026874
111100010111	00303130311	12	12x12	17.297158
011010101111	00002111111	12	12x12	13.837726
100100110111	02220222200	12	12x12	15.567442
111100001010	02121313313	12	12x12	20.756590
100010100100	03000022120	12	12x12	22.486306
001100110111	00200313111	12	12x12	19.026874
101010100110	03112200203	12	12x12	25.945737
000010100000	02113333303	12	12x12	20.756590
100111011111	03000222211	12	12x12	19.026874
110001111101	00031331300	12	12x12	20.756590
110111010101	03003030303	12	12x12	15.567442
000111110100	02002120221	12	12x12	20.756590
110011110010	00202122030	12	12x12	20.756590
000011100011	03130313330	12	12x12	19.026874
111010010100	00211121313	12	12x12	20.756590
000111111001	00000333122	12	12x12	17.297158
010000111111	00302030200	12	12x12	13.837726
011111101101	00330311113	12	12x12	19.026874
100010001110	02212212133	12	12x12	19.026874
000011001110	03303112212	12	12x12	25.945737
111101010010	00033003130	12	12x12	19.026874
111110101011	02033111220	12	12x12	20.756590
111010010101	03033003022	12	12x12	20.756590
011010110110	02020303031	12	12x12	15.567442
000010111000	02021113330	12	12x12	19.026874
100001001000	02000200221	12	12x12	19.026874
110101100011	00300031300	12	12x12	19.026874
100110101111	00333122133	12	12x12	22.486306
010101111110	00033022220	12	12x12	19.026874
000101000110	00311330203	12	12x12	24.216021
010001100100	03000211220	12	12x12	24.216021
011111000010	03331221221	12	12x12	19.026874
001001100011	03022111333	12	12x12	19.026874
000101111110	00002122133	12	12x12	20.756590
010010011101	03331333300	12	12x12	15.567442
110010001100	03133333303	12	12x12	19.026874
011010010001	02222221112	12	12x12	13.837726
111000011000	03312131112	12	12x12	22.486306
110111001100	02113311220	12	12x12	24.216021
001100111000	00033002122	12	12x12	20.756590
010011010100	02003130003	12	12x12	22.486306
111100000000	02121331221	12	12x12	24.216021
001001010111	02003131111	12	12x12	20.756590
011100001100	03313131212	12	12x12	17.297158
001110111110	03033331121	12	12x12	20.756590
101010010001	00033121311	12	12x12	20.756590
101000110101	02003300330	12	12x12	19.026874
001011000100	00313000033	12	12x12	19.026874
010011001111	00030031313	12	12x12	15.567442
111001011100	00333133002	12	12x12	19.026874
111101100110	03131112131	12	12x12	20.756590
010110011111	02003002021	12	12x12	22.486306
001110101101	00221221312	12	12x12	20.756590
010011001010	00302003331	12	12x12	19.026874
000000111110	00311300033	12	12x12	20.756590
101010000010	03111220202	12	12x12	20.756590
100011011001	00222211221	12	12x12	19.026874
011001100001	02221331212	12	12x12	20.756590
010001100111	00212002111	12	12x12	19.026874
010110001010	00211120200	12	12x12	19.026874
011000000000	00003030200	12	12x12	15.567442
111111111101	00330222022	12	12x12	20.756590
010010000111	02221202213	12	12x12	20.756590
000000001010	03033121130	12	12x12	24.216021
100111001110	00211202222	12	12x12	19.026874
001001001110	03031121213	12	12x12	19.026874
101111001110	03302030022	12	12x12	20.756590
011110010011	00020202211	12	12x12	17.297158
101001111100	00211133122	12	12x12	22.486306
001011111010	02113330021	12	12x12	20.756590
101011100100	02033111131	12	12x12	22.486306
110011111011	02211213121	12	12x12	20.756590
111111100000	02113133030	12	12x12	24.216021
011000111111	00212120003	12	12x12	19.026874
000101010000	02002030022	12	12x12	19.026874
101110100100	02113112021	12	12x12	22.486306
000001101111	02200200221	12	12x12	19.026874
100001010111	02212003333	12	12x12	20.756590
101110011010	00300203022	12	12x12	19.026874
010001001100	03131221312	12	12x12	20.756590
111100011110	00002212203	12	12x12	19.026874
111101011111	03330302212	12	12x12	22.486306
001011010100	00211120220	12	12x12	20.756590
010010010100	02003020302	12	12x12	20.756590
011110010010	02212221313	12	12x12	19.026874
001110110111	00311330313	12	12x12	20.756590
100100110110	00022033020	12	12x12	22.486306
110001101001	02033113313	12	12x12	22.486306
001011101110	00303312131	12	12x12	22.486306
110001100100	02122221200	12	12x12	22.486306
101000111100	00222020030	12	12x12	20.756590
101100000111	00302211111	12	12x12	17.297158
100000101000	03111122131	12	12x12	20.756590
011100110010	00031111121	12	12x12	19.026874
111111001100	03333311300	12	12x12	17.297158
011011110000	02213111133	12	12x12	20.756590
001110010101	03333112121	12	12x12	17.297158
000000101101	02121120212	12	12x12	19.026874
000101010001	02120033000	12	12x12	22.486306
110101001010	03131131221	12	12x12	22.486306
