Binary	UpDownNotation	n	GridSize	KC
0100110	031313	7	7x7	9.047369
0011001	021220	7	7x7	11.632331
0011110	002111	7	7x7	10.339850
1011110	002022	7	7x7	7.754888
1000010	000000	7	7x7	2.584963
0001010	030203	7	7x7	11.632331
1111000	031113	7	7x7	10.339850
1111110	000002	7	7x7	6.462406
1011111	021111	7	7x7	9.047369
0010000	021221	7	7x7	11.632331
0100111	030202	7	7x7	10.339850
1110001	002021	7	7x7	9.047369
0010101	033333	7	7x7	6.462406
1010111	021131	7	7x7	12.924813
0001110	031121	7	7x7	12.924813
1111111	021113	7	7x7	10.339850
0101000	000313	7	7x7	10.339850
1110101	022131	7	7x7	11.632331
0101000	033333	7	7x7	6.462406
0001101	030220	7	7x7	11.632331
0110000	003020	7	7x7	10.339850
1110000	003131	7	7x7	10.339850
1101000	021122	7	7x7	11.632331
1000000	000021	7	7x7	9.047369
1000101	021200	7	7x7	11.632331
0001111	000022	7	7x7	7.754888
0100000	003020	7	7x7	10.339850
0111111	003130	7	7x7	11.632331
0000001	002112	7	7x7	11.632331
1110111	033112	7	7x7	10.339850
0010010	030202	7	7x7	10.339850
0110001	031122	7	7x7	11.632331
1100101	031112	7	7x7	10.339850
0001110	003130	7	7x7	11.632331
0000001	030200	7	7x7	10.339850
0111100	030222	7	7x7	10.339850
1000000	003111	7	7x7	10.339850
0110100	030020	7	7x7	12.924813
0111111	022220	7	7x7	7.754888
1010001	000303	7	7x7	9.047369
0001010	003312	7	7x7	11.632331
1110100	033022	7	7x7	11.632331
1000110	021211	7	7x7	9.047369
1100010	003133	7	7x7	10.339850
1100000	030220	7	7x7	11.632331
1000111	033111	7	7x7	9.047369
0111100	031112	7	7x7	10.339850
0111110	021131	7	7x7	12.924813
1001111	031121	7	7x7	12.924813
0001011	020331	7	7x7	11.632331
1100001	002213	7	7x7	11.632331
0011101	002203	7	7x7	11.632331
1101111	031111	7	7x7	9.047369
0111011	000211	7	7x7	10.339850
1010011	030222	7	7x7	10.339850
1001000	002212	7	7x7	11.632331
0000110	021133	7	7x7	11.632331
1100101	003000	7	7x7	7.754888
1101010	021113	7	7x7	10.339850
1010000	020331	7	7x7	11.632331
0111110	021220	7	7x7	11.632331
0011000	002221	7	7x7	9.047369
1000010	031330	7	7x7	11.632331
1101111	031300	7	7x7	11.632331
0110111	022113	7	7x7	10.339850
1000001	022203	7	7x7	10.339850
0011000	002021	7	7x7	9.047369
0011110	030311	7	7x7	10.339850
1101110	003303	7	7x7	10.339850
0010100	021200	7	7x7	11.632331
0111000	030203	7	7x7	11.632331
1101101	021131	7	7x7	12.924813
0011011	033022	7	7x7	11.632331
0010011	003312	7	7x7	11.632331
0011110	033130	7	7x7	11.632331
0110001	031121	7	7x7	12.924813
0011010	000021	7	7x7	9.047369
1110010	002222	7	7x7	7.754888
1101010	020302	7	7x7	11.632331
0011111	003131	7	7x7	10.339850
0100111	021122	7	7x7	11.632331
1101101	020302	7	7x7	11.632331
0001110	033133	7	7x7	9.047369
1100111	003113	7	7x7	11.632331
1111111	003031	7	7x7	9.047369
0110111	020302	7	7x7	11.632331
1001111	002121	7	7x7	10.339850
