Binary	UpDownNotation	n	GridSize	KC
01001	0200	5	5x5	6.000000
10110	0313	5	5x5	7.000000
00010	0002	5	5x5	5.000000
01100	0202	5	5x5	6.000000
00001	0022	5	5x5	6.000000
10110	0302	5	5x5	7.000000
10101	0003	5	5x5	5.000000
11110	0330	5	5x5	6.000000
01010	0200	5	5x5	6.000000
10011	0033	5	5x5	6.000000
10001	0021	5	5x5	7.000000
01010	0203	5	5x5	7.000000
10001	0311	5	5x5	7.000000
01100	0313	5	5x5	7.000000
11000	0030	5	5x5	6.000000
01101	0221	5	5x5	6.000000
10011	0220	5	5x5	6.000000
10011	0221	5	5x5	6.000000
10100	0333	5	5x5	5.000000
10110	0212	5	5x5	7.000000
01101	0021	5	5x5	7.000000
01100	0212	5	5x5	7.000000
01111	0221	5	5x5	6.000000
10011	0212	5	5x5	7.000000
01110	0221	5	5x5	6.000000
00001	0331	5	5x5	6.000000
10001	0212	5	5x5	7.000000
01000	0000	5	5x5	2.000000
11010	0313	5	5x5	7.000000
00110	0331	5	5x5	6.000000
01001	0030	5	5x5	6.000000
10011	0031	5	5x5	7.000000
10010	0302	5	5x5	7.000000
01101	0221	5	5x5	6.000000
11011	0003	5	5x5	5.000000
00001	0031	5	5x5	7.000000
11100	0313	5	5x5	7.000000
11010	0003	5	5x5	5.000000
11110	0021	5	5x5	7.000000
10000	0020	5	5x5	6.000000
10101	0313	5	5x5	7.000000
10010	0313	5	5x5	7.000000
01001	0020	5	5x5	6.000000
10110	0302	5	5x5	7.000000
11110	0002	5	5x5	5.000000
01110	0002	5	5x5	5.000000
01001	0211	5	5x5	7.000000
01011	0331	5	5x5	6.000000
00001	0031	5	5x5	7.000000
00100	0331	5	5x5	6.000000
11010	0022	5	5x5	6.000000
10011	0222	5	5x5	5.000000
11101	0302	5	5x5	7.000000
01110	0331	5	5x5	6.000000
01111	0211	5	5x5	7.000000
10100	0030	5	5x5	6.000000
01100	0221	5	5x5	6.000000
10000	0033	5	5x5	6.000000
01110	0000	5	5x5	2.000000
01001	0022	5	5x5	6.000000
11011	0221	5	5x5	6.000000
10110	0200	5	5x5	6.000000
01101	0311	5	5x5	7.000000
10011	0200	5	5x5	6.000000
00101	0203	5	5x5	7.000000
10000	0221	5	5x5	6.000000
01000	0033	5	5x5	6.000000
01010	0222	5	5x5	5.000000
00101	0331	5	5x5	6.000000
01111	0200	5	5x5	6.000000
11000	0211	5	5x5	7.000000
00001	0202	5	5x5	6.000000
01110	0002	5	5x5	5.000000
00010	0313	5	5x5	7.000000
10110	0302	5	5x5	7.000000
11001	0030	5	5x5	6.000000
10001	0331	5	5x5	6.000000
01111	0020	5	5x5	6.000000
00000	0211	5	5x5	7.000000
10100	0031	5	5x5	7.000000
01100	0220	5	5x5	6.000000
01011	0000	5	5x5	2.000000
00010	0300	5	5x5	6.000000
01101	0203	5	5x5	7.000000
10011	0212	5	5x5	7.000000
11010	0002	5	5x5	5.000000
11001	0222	5	5x5	5.000000
11010	0002	5	5x5	5.000000
11110	0302	5	5x5	7.000000
10101	0221	5	5x5	6.000000
10111	0330	5	5x5	6.000000
01110	0222	5	5x5	5.000000
10101	0221	5	5x5	6.000000
01101	0033	5	5x5	6.000000
10111	0033	5	5x5	6.000000
01110	0002	5	5x5	5.000000
01001	0200	5	5x5	6.000000
10010	0302	5	5x5	7.000000
10010	0031	5	5x5	7.000000
01111	0330	5	5x5	6.000000
00010	0021	5	5x5	7.000000
11001	0031	5	5x5	7.000000
11001	0313	5	5x5	7.000000
00001	0211	5	5x5	7.000000
00111	0000	5	5x5	2.000000
10011	0331	5	5x5	6.000000
00110	0030	5	5x5	6.000000
10011	0221	5	5x5	6.000000
00110	0330	5	5x5	6.000000
01111	0212	5	5x5	7.000000
01110	0031	5	5x5	7.000000
01111	0030	5	5x5	6.000000
10100	0020	5	5x5	6.000000
01001	0002	5	5x5	5.000000
11111	0220	5	5x5	6.000000
00101	0212	5	5x5	7.000000
00100	0212	5	5x5	7.000000
10011	0022	5	5x5	6.000000
00100	0212	5	5x5	7.000000
01111	0221	5	5x5	6.000000
11100	0002	5	5x5	5.000000
00111	0200	5	5x5	6.000000
01001	0311	5	5x5	7.000000
01010	0311	5	5x5	7.000000
10001	0020	5	5x5	6.000000
11010	0202	5	5x5	6.000000
01010	0311	5	5x5	7.000000
10001	0220	5	5x5	6.000000
00010	0000	5	5x5	2.000000
01011	0031	5	5x5	7.000000
01001	0311	5	5x5	7.000000
01001	0222	5	5x5	5.000000
00000	0212	5	5x5	7.000000
01100	0002	5	5x5	5.000000
01111	0221	5	5x5	6.000000
10111	0030	5	5x5	6.000000
00101	0302	5	5x5	7.000000
10011	0330	5	5x5	6.000000
11111	0221	5	5x5	6.000000
11010	0020	5	5x5	6.000000
00101	0020	5	5x5	6.000000
00110	0033	5	5x5	6.000000
00110	0021	5	5x5	7.000000
10010	0003	5	5x5	5.000000
11000	0200	5	5x5	6.000000
11011	0221	5	5x5	6.000000
11010	0311	5	5x5	7.000000
10110	0300	5	5x5	6.000000
00111	0021	5	5x5	7.000000
11110	0033	5	5x5	6.000000
10001	0330	5	5x5	6.000000
10111	0021	5	5x5	7.000000
00110	0022	5	5x5	6.000000
10100	0031	5	5x5	7.000000
11111	0020	5	5x5	6.000000
10101	0000	5	5x5	2.000000
01100	0311	5	5x5	7.000000
01111	0020	5	5x5	6.000000
00111	0020	5	5x5	6.000000
11111	0221	5	5x5	6.000000
01011	0211	5	5x5	7.000000
01000	0211	5	5x5	7.000000
00110	0202	5	5x5	6.000000
10111	0031	5	5x5	7.000000
00110	0211	5	5x5	7.000000
01000	0022	5	5x5	6.000000
00111	0331	5	5x5	6.000000
11001	0021	5	5x5	7.000000
00110	0031	5	5x5	7.000000
01001	0003	5	5x5	5.000000
11111	0302	5	5x5	7.000000
01111	0313	5	5x5	7.000000
10000	0313	5	5x5	7.000000
11111	0221	5	5x5	6.000000
