Binary	UpDownNotation	n	GridSize	KC
0010001001	021222003	10	10x10	17.434588
1001011101	000033311	10	10x10	12.679700
0101111100	021133112	10	10x10	19.019550
0001010101	033331121	10	10x10	15.849625
1111111110	031303113	10	10x10	19.019550
0010101010	031313112	10	10x10	14.264663
1000001010	002033022	10	10x10	15.849625
1001101000	033121113	10	10x10	17.434588
0011101011	020022111	10	10x10	17.434588
1100001000	003302020	10	10x10	15.849625
1011100110	030333022	10	10x10	15.849625
0110111110	020302030	10	10x10	12.679700
1101101110	020333311	10	10x10	15.849625
0010001001	031112131	10	10x10	17.434588
1101000101	021212122	10	10x10	11.094738
1010011111	030311212	10	10x10	17.434588
0010110000	000311130	10	10x10	17.434588
1111101100	021131213	10	10x10	19.019550
1110101000	020002112	10	10x10	17.434588
0101101101	020222200	10	10x10	14.264663
0000110001	033312211	10	10x10	17.434588
1101010100	022131130	10	10x10	19.019550
0001011101	000003302	10	10x10	14.264663
0000110111	022122202	10	10x10	15.849625
1110110010	002111121	10	10x10	17.434588
1101110100	031122021	10	10x10	20.604513
1110001010	000030031	10	10x10	14.264663
1101000110	031112021	10	10x10	19.019550
0111110011	002220222	10	10x10	11.094738
0101000111	000313000	10	10x10	15.849625
0110100110	033113330	10	10x10	15.849625
1000000010	021220021	10	10x10	19.019550
0010000010	030300212	10	10x10	17.434588
0011001111	003113300	10	10x10	17.434588
0010001011	031130333	10	10x10	17.434588
1111111101	030002213	10	10x10	19.019550
0001101100	022203031	10	10x10	15.849625
0101110001	000330021	10	10x10	17.434588
1110101011	021222220	10	10x10	14.264663
1000001000	033311333	10	10x10	14.264663
0101110010	002020020	10	10x10	14.264663
1101010110	020211312	10	10x10	17.434588
0100100110	020212221	10	10x10	15.849625
0000100011	000221212	10	10x10	14.264663
1010111001	031331221	10	10x10	19.019550
1110100001	033111222	10	10x10	14.264663
0111010001	020211200	10	10x10	15.849625
0110100110	003313302	10	10x10	17.434588
0111010111	002112203	10	10x10	19.019550
0011111011	000203000	10	10x10	12.679700
0001100110	021202212	10	10x10	17.434588
0111101110	031112021	10	10x10	19.019550
1010100010	022213121	10	10x10	17.434588
1001001010	003111330	10	10x10	15.849625
0010100010	031122122	10	10x10	17.434588
0010101010	033121212	10	10x10	14.264663
1010000110	021121130	10	10x10	17.434588
1011010111	033331212	10	10x10	14.264663
