ID	OPC	CUSPS
1	14.875	3
2	15.25	1
3	17.5	1
4	22.25	1
5	25.25	1
6	19.625	1
7	18.0	1
8	24.0	1
9	20.0	1
10	23.25	1
11	25.5	1
12	20.75	1
13	24.0	1
14	32.75	1
15	17.0	1
16	14.125	1
17	16.0	1
18	15.75	1
19	21.0	1
20	37.5	1
21	20.25	1
22	46.25	1
23	23.375	1
24	12.25	1
25	15.75	1
26	15.0	1
27	15.0	1
28	14.25	1
29	17.0	1
30	17.0	1
31	15.5	1
32	21.25	2
33	21.75	1
34	25.25	1
35	13.125	1
36	19.0	1
37	24.125	1
38	24.5	1
39	25.0	1
40	17.0	1
41	17.0	1
42	14.75	1
43	14.25	1
44	27.625	1
45	21.125	1
46	15.25	1
47	18.75	3
48	15.5	1
49	21.25	1
50	14.0	1
51	22.75	1
52	16.875	3
53	19.375	1
54	24.625	1
55	18.75	2
56	13.875	1
57	14.75	1
58	14.5	2
59	24.125	1
60	18.625	2
61	15.25	1
62	16.25	1
63	16.375	1
64	18.25	2
65	26.625	1
66	30.5	1
67	21.75	1
68	24.0	1
69	15.0	1
70	24.75	1
71	15.5	1
72	20.0	1
73	43.0	1
74	14.75	1
75	15.25	1
76	17.75	3
77	15.375	1
78	20.5	1
79	16.75	2
80	19.75	1
81	22.5	1
82	18.875	3
83	16.25	1
84	17.0	1
85	14.75	1
86	19.25	1
87	20.625	1
88	14.75	1
89	30.0	1
90	24.0	1
91	17.0	2
92	16.25	2
93	13.0	1
94	17.5	2
95	14.5	1
96	27.5	1
97	15.375	1
98	21.0	1
99	26.25	1
100	16.75	1
101	27.75	1
102	17.0	1
103	30.75	1
104	23.5	1
105	23.0	1
106	26.0	1
107	14.75	1
108	16.5	1
109	20.5	1
110	74.625	1
111	20.0	2
112	24.25	1
113	23.0	3
114	12.5	1
115	14.75	1
116	14.875	1
117	22.25	1
118	27.5	1
119	17.875	2
120	19.25	1
121	19.0	3
122	15.125	1
123	25.75	2
124	23.0	1
125	16.5	1
126	16.25	1
127	17.0	1
128	15.25	1
129	26.25	1
130	12.625	1
131	15.75	1
132	24.75	1
133	27.375	2
134	15.75	1
135	18.25	1
136	28.875	2
137	23.0	1
138	16.5	1
139	17.25	2
140	30.5	2
141	15.875	1
142	21.25	1
143	15.25	1
144	15.25	3
145	16.625	1
146	45.125	1
147	17.5	1
148	14.5	1
149	33.125	1
150	16.5	1
151	13.5	1
152	22.25	1
153	16.75	2
154	15.0	1
155	16.25	1
156	17.625	1
157	22.5	1
158	27.0	1
159	14.25	1
160	24.625	1
161	17.25	1
162	18.25	1
163	14.75	1
164	20.5	1
165	19.75	1
166	19.75	1
167	19.0	1
168	18.75	1
169	17.0	2
170	23.125	2
171	14.0	1
172	15.0	1
173	16.75	1
174	26.25	1
175	24.5	1
176	19.5	1
177	15.5	1
178	43.75	2
179	16.0	1
180	19.5	1
181	15.5	1
182	13.5	1
183	32.75	1
184	24.0	1
185	22.0	1
186	20.25	3
187	22.5	1
188	26.5	3
189	15.125	1
190	22.375	1
191	16.75	1
192	38.5	1
193	21.25	1
194	18.0	3
195	29.75	1
196	16.25	1
197	19.25	1
198	67.75	1
199	20.25	1
200	26.25	1
201	23.75	1
202	30.0	1
203	52.875	1
204	19.25	1
205	20.0	1
206	16.25	1
207	16.5	1
208	24.0	1
209	15.5	1
210	16.0	1
211	73.125	1
212	17.0	1
213	14.75	1
214	19.5	2
215	17.75	1
216	16.5	1
217	18.75	1
218	14.25	2
219	15.125	1
220	14.25	1
221	18.75	1
222	23.5	1
223	20.75	1
224	18.0	1
225	28.0	1
226	15.0	1
227	14.0	1
228	17.25	1
229	23.25	1
230	25.5	1
231	15.75	1
232	21.875	1
233	15.5	1
234	20.75	1
235	16.25	1
236	29.75	1
237	13.5	1
238	14.375	3
239	27.625	1
240	21.5	1
241	19.75	3
242	20.875	1
243	26.5	1
244	23.25	1
245	24.375	1
246	22.5	1
247	49.625	1
248	25.75	1
249	14.75	1
250	18.125	1
251	13.5	1
252	24.375	1
253	16.75	1
254	18.875	1
255	18.0	1
256	29.25	1
257	15.5	1
258	24.75	2
259	21.75	1
260	19.0	1
261	17.75	1
262	15.75	1
263	21.625	1
264	16.0	1
265	17.125	3
266	16.0	1
267	15.5	1
268	21.0	1
269	21.5	1
270	30.25	1
271	16.75	1
272	20.0	1
273	19.75	1
274	15.25	1
275	15.75	1
276	20.0	1
277	16.0	1
278	15.75	1
279	20.25	1
280	20.5	1
281	23.0	1
282	21.0	1
283	15.5	1
284	16.5	3
285	16.5	1
286	13.0	1
287	29.75	1
288	15.0	1
289	14.75	1
290	19.25	1
291	16.75	1
292	18.75	3
293	16.5	1
294	16.25	1
295	16.0	1
296	16.75	3
297	20.5	2
298	15.0	1
299	13.5	2
300	19.0	2
301	55.125	1
302	29.25	2
303	24.75	1
304	21.5	1
305	24.25	3
306	16.25	2
307	14.0	1
308	17.75	1
309	12.0	1
310	28.5	1
311	21.0	1
312	15.25	1
313	20.25	1
314	18.25	1
315	23.0	1
316	15.25	1
317	15.75	1
318	15.125	3
319	18.75	1
320	16.5	1
321	18.875	1
322	17.25	2
323	24.0	1
324	14.125	1
325	14.875	1
326	15.25	3
327	15.75	1
328	30.25	1
329	22.625	1
330	21.0	1
331	12.75	1
332	14.25	2
333	20.25	1
334	18.5	1
335	39.75	1
336	13.75	1
337	25.75	1
338	22.75	1
339	18.75	3
340	17.375	1
341	16.5	3
342	15.75	1
343	16.75	1
344	24.625	1
345	25.25	1
346	17.0	1
347	19.875	1
348	19.75	1
349	35.25	1
350	16.75	1
351	19.5	1
352	17.375	1
353	18.875	1
354	21.25	1
355	31.5	1
356	17.0	3
357	19.75	1
358	16.5	1
359	13.5	1
360	24.875	1
361	15.125	1
362	15.5	1
363	14.75	1
364	16.0	1
365	18.25	1
366	22.5	1
367	18.25	3
368	20.875	1
369	17.75	1
370	21.25	3
371	25.375	1
372	16.5	1
373	15.0	1
374	14.75	2
375	20.5	1
376	17.0	1
377	20.5	1
378	19.25	1
379	19.5	1
380	19.375	1
381	27.75	1
382	23.625	1
383	17.0	2
384	16.0	1
385	22.5	1
386	16.0	2
387	14.75	1
388	25.75	1
389	24.0	1
390	17.0	1
391	18.75	3
392	20.25	1
393	12.75	1
394	15.75	1
395	27.75	1
396	18.0	1
397	28.5	1
398	20.25	1
399	12.5	1
400	19.5	1
401	16.5	1
402	14.75	1
403	22.5	1
404	21.25	1
