ID	OPC	CUSPS
419	52.25	5
420	92.25	1
421	16.0	2
422	28.25	1
423	39.75	4
424	87.0	5
425	40.25	3
426	34.375	3
427	71.25	2
428	109.125	3
429	59.875	1
430	145.125	3
432	84.5	4
433	39.5	3
434	104.5	5
435	50.375	3
436	32.625	1
437	18.5	2
438	30.75	3
439	22.75	1
440	24.375	2
441	34.125	2
442	44.375	3
443	21.375	1
444	84.75	1
445	25.375	3
446	55.375	1
447	76.75	4
448	121.75	5
449	99.25	3
450	20.75	3
452	183.375	7
453	35.0	1
454	81.875	3
455	55.25	1
456	116.75	4
457	50.375	2
458	38.0	3
460	64.25	3
461	51.75	3
462	40.0	1
463	86.25	3
464	66.0	1
465	37.875	3
466	26.75	1
467	51.5	4
468	51.0	5
470	64.375	3
471	24.0	3
472	85.875	5
473	59.375	1
474	35.5	3
475	52.25	5
476	68.0	4
477	69.875	1
478	47.25	3
479	48.5	3
480	37.125	3
481	61.625	4
482	30.125	3
483	46.125	1
484	25.5	3
485	124.5	4
486	131.75	5
487	34.75	3
488	75.125	3
489	39.125	3
490	73.25	4
491	248.375	5
492	56.75	3
493	50.0	3
494	41.75	5
495	27.875	2
496	19.25	1
497	28.375	3
498	35.625	4
499	35.25	3
500	24.0	3
501	22.625	1
502	63.0	4
503	83.5	4
504	19.5	1
505	168.75	5
506	30.125	3
507	37.125	3
508	146.625	5
509	30.75	2
510	44.125	5
511	195.5	6
512	31.0	2
513	28.25	4
514	19.625	1
515	90.5	5
516	66.0	2
517	43.75	4
519	80.375	5
520	40.25	3
521	46.625	4
523	19.75	1
524	20.375	3
525	33.375	3
526	141.875	4
527	42.25	4
528	114.0	1
529	21.0	1
530	156.25	3
531	47.25	4
532	56.5	3
533	72.5	4
534	19.0	3
535	63.375	4
536	61.25	1
537	68.5	1
538	57.75	4
539	21.625	3
540	26.625	1
541	42.25	3
542	16.875	2
543	177.5	3
544	37.625	3
545	48.25	4
546	45.625	3
547	78.75	3
548	74.125	4
550	21.375	1
551	32.125	3
552	27.5	3
553	211.125	5
554	16.75	1
555	93.375	4
556	29.25	1
557	59.25	3
558	30.625	2
559	38.375	3
560	44.0	3
561	29.375	3
562	38.0	3
563	34.375	3
564	31.0	2
565	18.75	1
566	61.375	3
567	30.875	3
568	23.75	2
569	222.375	2
570	40.625	3
571	60.875	3
572	32.5	3
573	74.625	4
574	21.375	2
575	22.625	2
576	55.5	4
577	140.5	1
578	67.75	3
579	49.75	3
580	30.75	2
581	136.5	5
582	45.875	3
583	38.25	1
584	57.375	4
585	46.25	3
586	22.25	1
587	127.0	5
588	22.0	3
589	114.0	6
590	50.0	3
591	160.0	5
592	39.375	1
594	29.0	3
596	23.875	1
597	242.625	5
598	72.625	5
599	35.0	4
600	45.125	4
601	50.25	3
602	163.25	5
604	32.5	3
605	63.25	3
607	73.25	3
608	33.625	3
609	34.5	3
610	198.5	1
611	42.0	2
612	60.75	4
613	48.0	2
614	69.125	4
615	37.0	2
616	75.5	1
617	75.0	3
618	103.875	5
