ID	OPC	CUSPS
1	11.75	1
2	14.125	1
3	13.75	1
4	15.25	1
5	13.5	1
6	12.875	1
7	15.125	1
8	13.625	1
9	17.75	1
10	17.5	1
11	14.0	1
12	14.375	1
13	12.75	1
14	18.75	1
15	14.25	1
16	13.25	1
17	14.25	1
18	11.5	1
19	17.5	1
20	26.375	1
21	19.0	1
22	32.375	1
23	16.0	1
24	12.5	1
25	15.75	1
26	14.0	1
27	13.25	1
28	13.875	1
29	14.75	1
30	10.5	1
31	13.125	1
32	12.5	1
33	12.25	1
34	22.625	1
35	11.625	1
36	13.625	1
37	21.0	1
38	14.25	1
39	12.875	1
40	14.5	1
41	13.25	1
42	14.5	1
43	12.75	1
44	18.5	1
45	14.5	1
46	15.125	1
47	17.0	1
48	12.625	1
49	27.0	1
50	14.25	1
51	14.375	1
52	18.125	3
53	14.25	1
54	25.125	1
55	14.25	1
56	13.5	1
57	13.75	1
58	13.875	1
59	20.875	1
60	20.125	2
61	13.375	1
62	14.5	1
63	12.25	1
64	11.5	1
65	22.75	1
66	24.25	1
67	12.75	1
68	14.75	1
69	12.625	1
70	22.0	1
71	11.75	1
72	12.75	1
73	22.0	1
74	12.625	1
75	13.0	1
76	14.0	2
77	14.0	1
78	13.75	1
79	12.875	1
80	14.875	1
81	16.625	1
82	15.125	2
83	13.75	1
84	14.5	1
85	11.5	1
86	16.5	1
87	14.875	1
88	14.25	1
89	22.75	1
90	18.75	1
91	13.875	1
92	12.25	1
93	12.0	1
94	13.5	1
95	14.25	1
96	23.0	1
97	12.375	1
98	14.5	1
99	18.5	1
100	14.125	1
101	13.25	1
102	14.25	1
103	16.75	1
104	14.5	1
105	13.625	1
106	20.75	1
107	14.25	1
108	13.625	1
109	18.125	1
110	35.375	1
111	13.25	1
112	15.125	1
113	15.75	1
114	12.625	1
115	12.875	1
116	13.375	1
117	11.875	1
118	16.0	1
119	15.125	1
120	16.0	1
121	16.0	2
122	14.0	1
123	17.0	1
124	16.5	1
125	14.25	1
126	12.25	1
127	13.625	1
128	13.375	1
129	18.125	1
130	13.0	1
131	14.0	1
132	18.25	1
133	17.625	1
134	14.0	1
135	14.5	1
136	18.75	1
137	13.875	1
138	16.75	1
139	12.0	1
140	15.25	1
141	13.0	1
142	14.5	1
143	13.25	1
144	13.25	1
145	14.0	1
146	34.0	1
147	14.0	1
148	14.5	1
149	23.75	1
150	13.5	1
151	13.25	1
152	12.5	1
153	14.25	1
154	12.375	1
155	12.25	1
156	14.75	1
157	22.5	1
158	12.75	1
159	13.5	1
160	11.75	1
161	13.5	1
162	13.625	1
163	13.625	1
164	20.5	1
165	14.125	1
166	13.0	1
167	12.25	1
168	16.375	1
169	13.875	1
170	14.625	1
171	15.125	1
172	12.0	1
173	13.5	1
174	16.0	1
175	13.0	1
176	14.5	1
