ID	OPC	CUSPS
1	86.125	6
2	21.75	1
3	20.75	1
5	20.75	1
7	25.375	1
8	98.875	3
9	188.25	6
10	102.875	4
11	50.625	3
12	51.125	3
14	285.0	6
15	62.25	5
16	24.25	1
17	27.25	1
18	71.125	5
19	21.375	1
20	87.25	2
21	39.25	1
22	108.25	1
23	168.875	6
24	24.0	2
25	55.25	3
26	42.375	3
27	28.75	2
28	48.125	5
29	21.5	1
30	26.25	3
31	28.0	1
32	90.25	7
33	119.5	5
34	148.625	4
35	64.125	3
36	57.5	4
37	270.5	1
39	53.625	3
40	23.75	1
41	34.75	2
42	104.625	5
43	22.625	1
44	59.125	1
45	52.875	3
46	36.5	1
47	59.25	3
48	45.375	3
49	73.875	1
50	35.25	3
51	85.75	5
52	97.875	7
53	19.25	1
54	75.875	1
55	109.125	4
56	45.375	3
57	37.5	3
58	77.0	5
59	206.75	5
60	107.0	4
61	37.125	3
62	23.25	1
63	83.125	3
64	57.625	4
65	54.75	2
66	84.875	1
67	89.375	5
69	26.875	1
70	155.75	2
71	40.875	3
72	93.5	6
73	86.5	1
74	28.0	1
75	41.875	4
76	87.125	6
77	33.75	3
78	92.25	4
80	23.25	3
81	42.5	1
82	86.875	5
83	24.75	3
84	18.375	1
85	25.25	3
86	93.25	5
87	45.375	5
88	23.0	1
89	70.5	1
90	60.75	5
91	64.375	3
92	113.125	6
93	76.75	3
95	19.5	1
96	201.375	2
97	27.25	1
98	31.5	2
99	118.5	4
100	44.25	5
101	120.5	2
102	64.875	6
103	62.0	1
104	89.625	6
105	177.625	1
106	184.0	1
107	31.75	3
108	23.0	1
110	403.25	1
111	73.75	4
112	51.75	3
113	95.375	5
114	36.0	3
115	22.0	2
116	22.75	2
117	177.875	1
118	129.375	5
119	67.625	3
120	27.0	2
121	91.125	6
122	28.25	2
123	313.25	4
124	67.0	4
125	72.0	6
126	50.25	3
127	20.75	3
128	47.75	3
129	60.5	2
130	47.125	3
131	29.0	1
132	53.5	1
134	51.0	2
135	39.375	4
136	155.25	5
137	87.75	4
138	88.25	7
140	187.5	8
141	74.5	2
142	137.125	4
143	44.5	4
144	65.375	4
145	20.25	1
146	106.25	1
147	39.5	4
148	39.25	3
149	183.0	3
150	32.25	3
151	44.625	4
153	34.875	1
154	79.75	5
155	37.375	3
156	21.75	1
157	66.5	1
158	167.125	5
160	108.0	5
161	69.625	5
162	24.5	1
163	24.0	2
164	172.25	7
166	47.625	5
167	132.625	3
168	22.25	1
169	60.875	6
170	34.75	1
171	22.25	1
172	51.75	3
173	31.125	3
174	30.0	3
175	122.75	5
176	98.0	3
177	18.5	1
178	208.0	2
179	39.375	3
180	139.75	3
181	35.5	3
182	16.5	1
184	70.25	1
185	85.75	3
186	121.0	6
187	123.125	4
188	304.375	15
189	48.0	3
190	60.0	2
191	103.625	1
192	240.5	11
193	103.5	5
194	94.75	5
195	249.25	4
196	62.25	3
197	41.0	1
198	385.875	1
199	203.0	5
200	230.0	10
201	48.25	3
202	246.75	9
203	374.75	1
204	20.5	1
206	31.0	2
207	27.5	3
208	99.5	4
209	16.75	1
210	39.125	3
211	159.0	1
212	21.625	3
213	31.125	3
214	65.0	3
215	129.125	5
216	50.125	3
217	20.125	2
218	80.375	5
219	68.625	3
220	27.625	1
221	25.75	3
222	79.125	4
223	135.75	7
224	100.5	6
225	233.75	3
226	67.5	4
227	57.375	3
228	52.25	3
229	138.875	5
230	65.5	1
231	23.5	1
232	78.0	3
233	20.25	1
234	118.0	3
235	48.875	3
236	177.375	6
238	76.875	6
239	136.75	3
240	93.5	3
241	97.375	3
242	160.125	5
243	30.75	2
244	117.375	5
245	211.5	2
246	91.125	3
247	191.375	1
248	292.375	1
249	69.625	6
250	35.5	2
251	35.5	3
252	216.25	3
253	59.75	4
254	77.0	5
255	71.75	5
256	127.375	5
257	20.5	1
258	96.375	4
259	52.75	4
260	56.5	3
261	71.25	5
262	40.75	3
263	28.0	2
264	21.75	2
265	82.125	5
266	35.875	3
267	21.5	2
268	45.625	1
270	71.625	1
271	39.25	3
272	35.875	4
273	50.625	3
274	62.5	3
275	85.625	6
276	96.5	4
277	34.625	2
278	19.25	1
279	67.5	4
280	37.625	1
281	98.625	5
282	66.5	1
283	98.75	7
284	50.0	3
285	18.0	1
286	23.625	1
287	321.75	5
288	34.375	2
289	23.0	1
290	134.5	3
291	100.5	5
292	84.125	5
293	23.125	1
294	54.875	2
295	31.5	2
296	89.25	6
297	92.125	7
298	24.0	1
300	71.75	4
301	254.75	2
302	409.125	4
303	161.125	6
304	70.625	4
305	166.0	3
306	44.5	3
307	20.0	1
308	90.875	5
309	47.5	3
310	82.75	1
311	134.875	1
312	26.5	3
313	126.125	3
314	77.125	5
315	318.25	7
317	20.75	1
319	44.75	1
320	42.625	3
321	36.75	1
322	34.75	3
323	48.25	4
324	36.75	3
326	49.0	3
327	42.5	3
328	84.125	5
329	33.0	1
330	104.75	5
331	22.125	1
332	65.0	4
333	65.0	5
334	28.75	2
335	236.5	9
336	49.875	3
337	255.75	5
338	37.5	2
339	95.875	5
340	28.5	1
342	53.0	4
343	63.625	3
344	77.375	1
345	193.375	7
346	18.875	1
347	46.875	5
348	55.125	4
349	88.5	1
350	43.5	2
351	47.0	3
352	29.875	2
354	107.625	4
355	214.0	1
357	69.375	4
358	46.5	3
359	21.875	1
360	86.25	2
361	31.25	1
362	47.375	3
363	45.125	3
364	48.375	3
365	41.0	3
366	109.75	6
367	56.0	3
368	109.5	6
369	107.625	4
370	79.625	5
371	198.625	3
372	97.25	2
373	19.75	1
374	48.125	3
376	53.875	3
377	179.875	6
378	28.625	3
379	48.75	3
380	26.75	2
381	205.25	5
382	169.25	4
383	85.75	4
384	25.0	2
385	85.75	1
386	35.5	3
387	27.75	1
388	67.25	2
389	192.25	5
390	37.5	4
391	73.125	5
392	200.5	5
393	59.375	4
394	41.25	3
395	57.75	1
396	29.75	1
397	198.5	2
398	76.375	3
399	32.0	3
400	41.25	5
401	35.0	2
402	38.75	3
403	65.0	3
404	49.375	5
405	53.5	1
406	76.75	3
407	26.625	1
408	25.75	3
409	27.25	1
410	64.625	1
411	55.25	4
412	88.375	3
413	145.625	2
414	205.25	1
415	35.25	2
416	59.0	5
417	29.875	3
418	31.75	3
419	71.75	5
420	155.0	3
421	19.125	2
422	30.75	1
423	69.25	5
424	157.875	5
425	51.0	3
426	48.5	3
427	78.25	4
428	183.0	6
429	73.0	1
430	156.125	3
432	116.625	5
433	75.25	5
434	181.625	5
436	43.25	1
437	26.25	3
438	36.0	3
439	45.875	3
440	30.25	3
441	40.625	4
442	41.75	3
443	22.25	3
444	82.5	1
445	35.625	3
446	75.25	1
447	91.125	7
449	127.375	3
450	27.0	3
453	27.5	1
454	121.25	3
455	54.75	1
456	179.875	6
457	71.625	2
458	43.0	3
459	15.75	2
460	73.5	4
461	59.25	3
462	44.125	1
463	114.125	4
464	64.625	1
465	43.0	3
466	25.875	1
467	66.75	4
468	91.25	5
469	51.5	5
470	100.25	4
471	31.625	3
472	113.125	5
473	62.625	1
474	44.75	3
475	100.5	5
476	113.5	5
477	69.25	1
478	112.5	5
479	57.875	4
480	58.125	3
481	99.25	4
482	30.0	3
483	50.0	1
484	33.25	3
485	155.5	6
486	147.375	6
487	46.375	3
488	110.375	3
489	49.0	3
490	120.75	4
491	312.375	9
