Dataset,Length,Structural complexity
SeqNull,50,46.50699332842307
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,73.08241808752197
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,73.08241808752197
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,46.50699332842307
SeqNull,50,49.82892142331043
SeqNull,50,59.79470570797252
SeqNull,50,73.08241808752197
SeqNull,50,53.1508495181978
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,46.50699332842307
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,53.1508495181978
SeqNull,50,56.47277761308516
SeqNull,50,56.47277761308516
SeqNull,50,59.79470570797252
SeqNull,50,69.7604899926346
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,59.79470570797252
SeqNull,50,59.79470570797252
SeqNull,50,49.82892142331043
SeqNull,50,49.82892142331043
SeqNull,50,66.43856189774725
SeqNull,50,46.50699332842307
SeqNull,50,66.43856189774725
SeqNull,50,43.18506523353571
SeqNull,50,66.43856189774725
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,69.7604899926346
SeqNull,50,56.47277761308516
SeqNull,50,39.86313713864835
SeqNull,50,46.50699332842307
SeqNull,50,43.18506523353571
SeqNull,50,76.40434618240933
SeqNull,50,59.79470570797252
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,69.7604899926346
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,69.7604899926346
SeqNull,50,79.7262742772967
SeqNull,50,73.08241808752197
SeqNull,50,73.08241808752197
SeqNull,50,59.79470570797252
SeqNull,50,46.50699332842307
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,66.43856189774725
SeqNull,50,53.1508495181978
SeqNull,50,76.40434618240933
SeqNull,50,76.40434618240933
SeqNull,50,39.86313713864835
SeqNull,50,49.82892142331043
SeqNull,50,59.79470570797252
SeqNull,50,53.1508495181978
SeqNull,50,59.79470570797252
SeqNull,50,46.50699332842307
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,43.18506523353571
SeqNull,50,53.1508495181978
SeqNull,50,33.219280948873624
SeqNull,50,59.79470570797252
SeqNull,50,33.219280948873624
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,66.43856189774725
SeqNull,50,39.86313713864835
SeqNull,50,63.11663380285988
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,63.11663380285988
SeqNull,50,69.7604899926346
SeqNull,50,63.11663380285988
SeqNull,50,69.7604899926346
SeqNull,50,63.11663380285988
SeqNull,50,66.43856189774725
SeqNull,50,63.11663380285988
SeqNull,50,46.50699332842307
SeqNull,50,56.47277761308516
SeqNull,50,66.43856189774725
SeqNull,50,76.40434618240933
SeqNull,50,59.79470570797252
SeqNull,50,36.541209043760986
SeqNull,50,59.79470570797252
SeqNull,50,43.18506523353571
SeqNull,50,56.47277761308516
SeqNull,50,59.79470570797252
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,33.219280948873624
SeqNull,50,56.47277761308516
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,73.08241808752197
SeqNull,50,56.47277761308516
SeqNull,50,59.79470570797252
SeqNull,50,33.219280948873624
SeqNull,50,59.79470570797252
SeqNull,50,63.11663380285988
SeqNull,50,53.1508495181978
SeqNull,50,49.82892142331043
SeqNull,50,73.08241808752197
SeqNull,50,59.79470570797252
SeqNull,50,69.7604899926346
SeqNull,50,53.1508495181978
SeqNull,50,63.11663380285988
SeqNull,50,69.7604899926346
SeqNull,50,56.47277761308516
SeqNull,50,46.50699332842307
SeqNull,50,33.219280948873624
SeqNull,50,59.79470570797252
SeqNull,50,56.47277761308516
SeqNull,50,53.1508495181978
SeqNull,50,49.82892142331043
SeqNull,50,76.40434618240933
SeqNull,50,63.11663380285988
SeqNull,50,33.219280948873624
SeqNull,50,69.7604899926346
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,66.43856189774725
SeqNull,50,56.47277761308516
SeqNull,50,49.82892142331043
SeqNull,50,56.47277761308516
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,63.11663380285988
SeqNull,50,49.82892142331043
SeqNull,50,63.11663380285988
SeqNull,50,59.79470570797252
SeqNull,50,59.79470570797252
SeqNull,50,53.1508495181978
SeqNull,50,46.50699332842307
SeqNull,50,69.7604899926346
SeqNull,50,59.79470570797252
SeqNull,50,56.47277761308516
SeqNull,50,56.47277761308516
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,56.47277761308516
SeqNull,50,49.82892142331043
SeqNull,50,66.43856189774725
SeqNull,50,49.82892142331043
SeqNull,50,59.79470570797252
SeqNull,50,53.1508495181978
SeqNull,50,63.11663380285988
SeqNull,50,46.50699332842307
SeqNull,50,69.7604899926346
SeqNull,50,63.11663380285988
SeqNull,50,73.08241808752197
SeqNull,50,73.08241808752197
SeqNull,50,56.47277761308516
SeqNull,50,69.7604899926346
SeqNull,50,46.50699332842307
SeqNull,50,73.08241808752197
SeqNull,50,63.11663380285988
SeqNull,50,76.40434618240933
SeqNull,50,63.11663380285988
SeqNull,50,56.47277761308516
SeqNull,50,69.7604899926346
SeqNull,50,49.82892142331043
SeqNull,50,69.7604899926346
SeqNull,50,56.47277761308516
SeqNull,50,49.82892142331043
SeqNull,50,49.82892142331043
SeqNull,50,56.47277761308516
SeqNull,50,59.79470570797252
SeqNull,50,53.1508495181978
SeqNull,50,69.7604899926346
SeqNull,50,66.43856189774725
SeqNull,50,59.79470570797252
SeqNull,50,46.50699332842307
SeqNull,50,59.79470570797252
