ID	OPC	CUSPS
1	26.25	3
2	17.25	1
3	20.375	1
4	31.0	1
5	15.5	1
6	29.25	1
7	17.5	1
8	36.0	1
9	22.75	1
10	25.0	1
11	37.0	1
12	21.75	1
13	41.125	1
14	43.5	1
15	20.125	3
16	23.125	1
17	14.0	1
18	22.375	2
19	16.75	1
20	34.875	1
21	23.0	1
22	49.25	1
23	31.375	1
24	19.25	2
25	25.25	3
26	24.125	3
27	25.125	1
28	32.25	1
29	19.25	1
30	23.125	1
31	15.0	1
32	26.75	2
33	34.5	1
34	25.375	1
35	15.25	2
36	22.75	1
37	90.25	1
38	33.375	1
39	28.375	1
40	16.5	1
41	22.875	1
42	28.25	3
43	16.875	1
44	33.5	1
45	21.0	1
46	30.75	1
47	34.25	3
48	24.75	2
49	30.375	2
50	23.0	2
51	27.25	1
52	32.0	4
53	16.75	1
54	39.5	2
55	30.5	2
56	25.375	1
57	21.75	1
58	20.5	3
59	37.0	1
60	29.0	2
61	20.75	1
62	19.625	2
63	23.375	2
64	23.375	2
65	39.125	1
66	48.125	2
67	29.375	1
68	34.0	1
69	20.625	1
70	53.0	1
71	17.5	1
72	23.5	2
73	41.5	1
74	17.125	1
75	19.25	1
76	31.0	3
77	23.0	1
78	27.5	1
80	16.5	1
81	31.75	1
82	31.625	3
83	20.625	1
84	27.0	1
85	22.625	1
86	22.0	3
87	23.25	1
88	20.375	1
89	37.75	1
90	29.0	3
91	33.75	2
92	23.5	3
93	17.25	1
94	23.75	3
95	29.375	1
97	25.0	1
98	19.75	2
99	38.875	1
100	24.875	2
101	34.0	1
102	17.75	1
103	46.0	1
104	26.625	1
105	27.0	1
106	41.125	1
107	28.25	1
108	24.125	1
109	27.0	2
110	143.5	1
111	20.25	2
112	29.375	1
113	30.0	3
114	24.375	3
115	19.75	1
116	19.75	1
117	31.25	1
118	28.25	1
119	33.375	3
120	18.25	1
121	27.75	3
122	20.25	1
123	69.625	2
124	24.0	1
125	20.0	2
126	22.25	3
127	26.125	1
128	31.375	1
129	24.0	1
130	22.0	3
131	22.875	1
132	34.75	2
133	30.25	2
134	22.75	2
135	22.125	1
136	35.25	2
137	28.0	1
138	19.25	3
139	29.25	2
140	33.125	2
141	24.375	2
142	34.125	1
143	25.625	1
144	22.5	3
145	24.375	1
146	60.875	1
147	22.5	2
148	26.5	1
149	35.5	1
150	17.625	1
151	28.5	2
152	26.375	1
153	23.5	1
154	25.25	3
155	19.5	1
156	17.0	1
157	40.75	1
158	29.0	2
159	26.0	1
160	39.0	1
161	20.75	3
162	22.875	1
163	24.125	1
164	25.875	3
165	36.75	1
166	28.25	1
167	30.625	1
168	19.5	1
169	22.0	2
170	21.75	2
171	24.125	1
172	18.0	3
